Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Kambarių sk.:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Vanduo:,Įrengimas:,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Reklama:,Reklama/pasiūlymas:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Kaunas, Palemonas, Jazminų g., mūrinis namas",145 000 €,28,336 m²,"6,5 a",,2,1992,Mūrinis,Namas (gyvenamasis),Kietu kuru,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Mitkūnų k., Kranto g., mūrinis sublokuotas namas",195 500 €,2A,"107,34 m²","6,73 a",4,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Artezinis,Dalinė apdaila,Kraštinis sklypasElektra,RūbinėTerasa,Šildomos grindys,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,50,A++,
"Kaunas, Žaliakalnis, Ūmėdžių g., mūrinis namas",330 000 €,13,"151,52 m²","5,98 a",,2,2025,Mūrinis,Namas (gyvenamasis),Elektra,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasElektra,Rūsys,Plastikiniai vamzdžiaiRekuperacinė sistema,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Aleksotas, Ąžuolų g., mūrinis namas",590 000 €,30,215 m²,10 a,,2,2020,Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Piliuonos k., Šlaito g., blokinis sodo namas",19 500 €,,"20,85 m²","7,14 a",1,1,1993,Blokinis,Sodo namas,Elektra,Vietinis vandentiekis,Įrengtas,Kraštinis sklypasElektra,Rūsys,Su baldais,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,F,4400-1978-2975
"Kauno r. sav., Vijūkų k., Raskilos g., mūrinis sublokuotas namas",198 000 €,36B,"95,14 m²","3,8 a",,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėŪkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Žemaitkiemio k., Kita (nukeliamas, projektas, kt.)",38 500 €,,50 m²,0 a,2,2,2022,Kita,"Kita (nukeliamas, projektas, kt.)",Aeroterminis,,Neįrengtas,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Gričiupis, Dujotiekio g., mūrinio namo dalis",286 000 €,18,110 m²,6 a,5,2,2024,Mūrinis,Namo dalis,"Elektra, geoterminis, dujinis",Miesto vandentiekis,Neįrengtas,Asfaltuotas privažiavimasElektraDujos,Ūkiniai pastataiTerasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,2 000,A++,
"Kauno r. sav., Vijūkų k., Liucijanavos g., mūrinis namas",385 000 €,,196 m²,"8,1 a",,2,2008,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Petrašiūnai, R. Kalantos g., medinio namo dalis",52 000 €,151,75 m²,2 a,,2,"1937 statyba, 2008 renovacija",Medinis,Namo dalis,"Elektra, kietu kuru",Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimas,Rūsys,KondicionieriusSkalbimo mašinaVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,1 500,,
"Kaunas, Žaliakalnis, Sukilėlių pr., mūrinio namo dalis",105 000 €,43,46 m²,6 a,2,1,1980,Mūrinis,Namo dalis,Centrinis kolektorinis,Miesto vandentiekis,Kita,,Ūkiniai pastatai,,,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Šatijų k., Kita (nukeliamas, projektas, kt.)",7 500 €,,18 m²,0 a,1,1,2024,Kita,"Kita (nukeliamas, projektas, kt.)",Elektra,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Samylų k., Gervių al., mūrinė sodyba",300 000 €,,164 m²,26 a,3,1,2021,Mūrinis,Sodyba,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Greta miškoElektra,GaražasTerasa,KondicionieriusŠildomos grindysŽidinysRekuperacinė sistema,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,300,B,
"Kauno r. sav., Akademijos mstl., Vieversių g., mūrinis namas",265 000 €,3,171 m²,"7,79 a",,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,Garažas,Šildomos grindys,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Vijūkų k., Aluonos g., mūrinis namas",395 000 €,34,164 m²,"8,18 a",5,2,2014,Mūrinis,Namas (gyvenamasis),Geoterminis,Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūbinėTerasa,Skalbimo mašinaSu baldaisŠildomos grindysVirtuvės komplektasViryklėIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,B,
"Kauno r. sav., Mitkūnų k., Slėnio g., mūrinis namas",149 900 €,14,97 m²,"8,04 a",4,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Artezinis,Dalinė apdaila,Asfaltuotas privažiavimasElektra,,Šildomos grindysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,A++,
"Kauno r. sav., Vijūkų k., Raskilos g., mūrinis sublokuotas namas",149 500 €,,94 m²,"3,8 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,RūbinėŪkiniai pastataiTerasa,,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Romainiai, A. Šapokos g., mūrinis sublokuotas namas",137 250 €,,86 m²,"2,5 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Ūkiniai pastataiTerasa,,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Ramučių k., mūrinis namas",320 000 €,,"218,51 m²",21 a,5,2,"2005 statyba, 2017 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,"Miesto vandentiekis, šulinys",Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetas,Garažas,Su baldais,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Šilainiai, A. Šapokos g., mūrinis sublokuotas namas",135 100 €,,84 m²,"3,4 a",,1,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,Ūkiniai pastataiTerasa,KondicionieriusSkalbimo mašinaŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Šilainiai, A. Šapokos g., mūrinis sublokuotas namas",138 990 €,,87 m²,"2,9 a",,2,2022,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,Ūkiniai pastataiTerasa,,Aptverta teritorijaSignalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Žaliakalnis, P. Višinskio g., mūrinis namas",355 000 €,62,170 m²,"5,69 a",,3,"1953 statyba, 2016 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Rokų k., Žibintų g., mūrinis namas",130 000 €,24,"121,75 m²",10 a,,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Vietinis vandentiekis,Neįrengtas,Kraštinis sklypasElektra,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Arlaviškių k., Vyšnių g., karkasinis namas",139 000 €,1,136 m²,"6,56 a",5,2,"1987 statyba, 2012 renovacija",Karkasinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Artezinis,Įrengtas,Asfaltuotas privažiavimasElektra,RūsysŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,500,,
"Kaunas, Panemunė, Viršučių g., mūrinis namas",155 000 €,63A,109 m²,"7,5 a",3,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Elektra,Rūbinė,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Pagirių k., Pagirių g., mūrinio namo dalis",92 900 €,79,220 m²,13 a,,1,2023,Mūrinis,Namo dalis,"Elektra, dujinis, kietu kuru, saulės energija","Miesto vandentiekis, vietinis vandentiekis",Neįrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosKabelinė televizija,GaražasRūbinėŪkiniai pastataiTerasa,,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A,
"Kaunas, Vičiūnai, mūrinis namas",529 000 €,,137 m²,6 a,4,2,2014,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,Ūkiniai pastataiTerasa,Virtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,,,
"Kaunas, Romainiai, Girios g., mūrinis sublokuotas namas",139 500 €,150,84 m²,"3,5 a",,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Ringaudų k., Liepų g., mūrinis namas",149 990 €,,162 m²,"7,74 a",,2,1988,Mūrinis,Namas (gyvenamasis),"Centrinis, dujinis, kietu kuru","Miesto vandentiekis, šulinys",Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsys,Virtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Aleksotas, mūrinis sublokuotas namas",149 990 €,,92 m²,4 a,,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasElektraInternetas,,Šildomos grindys,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kaunas, Romainiai, Žemynos g., mūrinio namo dalis",130 000 €,36,"82,5 m²",1 a,,1,1992,Mūrinis,Namo dalis,"Elektra, dujinis",Miesto vandentiekis,Dalinė apdaila,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Vytėnai, Vytelių g., mūrinis namas",355 000 €,5,"355,94 m²","14,98 a",6,2,1992,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,Asfaltuotas privažiavimasElektraDujosInternetas,BaseinasGaražasRūbinėRūsys,Skalbimo mašinaŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,,,
"Kaunas, Žaliakalnis, Perkūno al., mūrinio namo dalis",149 000 €,28,"58,63 m²","8,43 a",,3,"1991 statyba, 2023 renovacija",Mūrinis,Namo dalis,Centrinis kolektorinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, J. Okso g., mūrinis sublokuotas namas",168 500 €,,80 m²,4 a,,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Romainiai, V. Bacevičiaus g., mūrinis namas",259 055 €,,109 m²,"4,5 a",4,1,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujosInternetas,,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasIndaplovėRekuperacinė sistema,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kaunas, Aleksotas, Veiverių g., mūrinio namo dalis",48 000 €,184,120 m²,0 a,,2,1990,Mūrinis,Namo dalis,Dujinis,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Mastaičių k., Miglės g., mūrinis namas",339 000 €,95,234 m²,"12,07 a",,1,2022,Mūrinis,Namas (gyvenamasis),Dujinis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Romainių Kaimelės k., Saulėtekių g., mūrinis namas",259 000 €,1,"101,23 m²",5 a,,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimasElektraDujosInternetas,RūbinėTerasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Akademijos mstl., Čiurlių g., mūrinis sublokuotas namas",191 000 €,2,104 m²,"4,7 a",,1,2024,Mūrinis,Sublokuotas namas,Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Asfaltuotas privažiavimasInternetas,,Šildomos grindys,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Akademijos mstl., Povilo Matulionio g., mūrinis namas",290 000 €,89,172 m²,"10,35 a",,1,2024,Mūrinis,Namas (gyvenamasis),Aeroterminis,Miesto vandentiekis,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraInternetas,Garažas,,Aptverta teritorijaŠarvuotos durys,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A++,
"Kauno r. sav., Altoniškių k., Piliakalnio g., mūrinis namas",104 500 €,1,135 m²,32 a,4,2,"1980 statyba, 2013 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Šulinys,Įrengtas,Kraštinis sklypasInternetas,GaražasRūsysŪkiniai pastataiTerasa,Su baldaisŠildomos grindysPlastikiniai vamzdžiai,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,,
"Kaunas, Žaliakalnis, Darbininkų g., mūrinio namo dalis",140 000 €,,77 m²,"1,48 a",3,2,1932,Mūrinis,Namo dalis,Dujinis,Miesto vandentiekis,Įrengtas,ElektraDujos,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Gervėnupio k., Lakštučių g., mūrinis namas",119 000 €,13,80 m²,6 a,,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, saulės energija",,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Panemunė, Vaidoto g., mūrinis sublokuotas namas",260 000 €,32,132 m²,"3,65 a",,2,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Gervėnupio k., Rožių al., karkasinis sodo namas",22 500 €,,"33,08 m²",6 a,,2,1971,Karkasinis,Sodo namas,Kita,Vietinis vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektra,Terasa,Su baldaisŠaldytuvasViryklėŽidinys,Aptverta teritorija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,200,,5280-0060-0176
"Kaunas, Žaliakalnis, Šviesos g., mūrinis namas",339 000 €,21A,256 m²,"4,88 a",6,2,1996,Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, kietu kuru",Miesto vandentiekis,Įrengtas,ElektraDujos,GaražasRūsys,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovė,Šarvuotos durys,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,C,
"Kauno r. sav., Noreikiškių k., Švyturio g., mūrinis sublokuotas namas",155 000 €,4,70 m²,"2,6 a",3,2,2023,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,,,Šildomos grindysRekuperacinė sistema,Aptverta teritorijaSignalizacija,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,1 000,A+,
"Kaunas, Panemunė, Vaidoto g., mūrinis sublokuotas namas",191 000 €,,70 m²,"2,2 a",4,2,2018,Mūrinis,Sublokuotas namas,Dujinis,Miesto vandentiekis,Įrengtas,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Ūkiniai pastataiTerasa,Su baldaisŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovė,Aptverta teritorijaSignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,Upė,500,B,
"Kauno r. sav., Žemaitkiemio k., Bajorkiemio g., mūrinis sublokuotas namas",112 000 €,14,73 m²,"5,25 a",,1,2023,Mūrinis,Sublokuotas namas,Aeroterminis,,Dalinė apdaila,,,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Amaliai, Kardažolių tak., mūrinis sodo namas",72 000 €,5,61 m²,"5,98 a",3,2,1982,Mūrinis,Sodo namas,"Elektra, kietu kuru",Miesto vandentiekis,Įrengtas,ElektraKabelinė televizija,GaražasRūsysTerasa,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,G,1998-3015-5016
"Kaunas, Amaliai, Gelsvių tak., mūrinio namo dalis",73 000 €,6,164 m²,6 a,,2,2002,Mūrinis,Namo dalis,Kita,,Įrengtas,,,,,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kaunas, Kleboniškis, Vasarvietės g., mūrinis namas",799 000 €,11E,244 m²,"4,16 a",,3,2020,Mūrinis,Namas (gyvenamasis),Dujinis,Miesto vandentiekis,Įrengtas,Greta miškoAsfaltuotas privažiavimas,GaražasRūsysTerasa,Su baldaisŠildomos grindysŽidinysRekuperacinė sistema,SignalizacijaVaizdo kameros,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Domeikavos k., Žemynos g., mūrinis namas",120 000 €,,80 m²,7 a,3,1,2023,Mūrinis,Namas (gyvenamasis),"Aeroterminis, saulės energija",Vietinis vandentiekis,Dalinė apdaila,,Garažas,,,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Dubravų k., Žirgų g., mūrinis sublokuotas namas",195 000 €,6,236 m²,25 a,4,2,2022,Mūrinis,Sublokuotas namas,"Centrinis kolektorinis, saulės energija",,Dalinė apdaila,,,Šildomos grindysRekuperacinė sistema,SignalizacijaVaizdo kameros,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,A+,
"Kauno r. sav., Karmėlavos mstl., Vilniaus g., mūrinis namas",270 000 €,11,650 m²,14 a,8,3,"1988 statyba, 2000 renovacija",Mūrinis,Namas (gyvenamasis),"Elektra, dujinis, kietu kuru",Kita,Dalinė apdaila,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,BaseinasGaražasPirtisRūsysŪkiniai pastataiTerasa,Šildomos grindysŽidinysPlastikiniai vamzdžiai,Aptverta teritorija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,
"Kauno r. sav., Mitkūnų k., Slėnio g., mūrinis namas",160 000 €,,107 m²,"9,7 a",4,1,2023,Mūrinis,Namas (gyvenamasis),Aeroterminis,,Dalinė apdaila,Elektra,,,Signalizacija,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,Tvenkinys,500,A++,
