Adresas,Kaina,Namo numeris:,Plotas:,Sklypo plotas:,Aukštų sk.:,Metai:,Pastato tipas:,Namo tipas:,Šildymas:,Įrengimas:,Reklama:,Reklama/pasiūlymas:,Kambarių sk.:,Vanduo:,Artimiausias vandens telkinys:,Iki vandens telkinio (m):,Ypatybės:,Papildomos patalpos:,Papildoma įranga:,Apsauga:,Pastato energijos suvartojimo klasė:,Unikalus daikto numeris(RC numeris):
"Šiaulių r. sav., Aukštelkės k., Sietyno g., mūrinis namas",263 000 €,14,"188,09 m²","16,03 a",2,2010,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,,,Kraštinis sklypasElektraDujosInternetas,Garažas,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiaulių r. sav., Gervėnų k., Beržų g., mūrinis namas",34 000 €,9,98 m²,10 a,2,"1992 statyba, 2018 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,ElektraAsfaltuotas privažiavimas,Terasa,Su baldaisŽidinys,,,
"Šiaulių r. sav., Kuršėnų m., Vilniaus g., medinio namo dalis",29 999 €,8,"76,12 m²",10 a,1,1950,Medinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Naisių k., Bagdongirio g., mūrinis namas",100 000 €,17,"70,64 m²","21,6 a",1,1973,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Medelynas, J. Šliūpo g., mūrinis namas",145 000 €,,"284,75 m²","9,84 a",2,1959,Mūrinis,Namas (gyvenamasis),Centrinis kolektorinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,7,,,,,,,,,
"Šiaulių r. sav., Maskvytės k., Gėlių g., mūrinis namas",50 500 €,,"105,85 m²","8,14 a",1,1989,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiauliai, Šimšė, Joniškėlio g., mūrinis namas",124 500 €,,125 m²,6 a,1,"1968 statyba, 2010 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Miesto vandentiekis, šulinys",Ežeras,1 000,Asfaltuotas privažiavimasElektraInternetasKabelinė televizija,GaražasRūsysTerasa,ŠaldytuvasVirtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Bačiūnai, Klevo Sodų 9-oji g., mūrinis sodo namas",46 000 €,16,"72,83 m²",6 a,1,1993,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,,,,Kraštinis sklypasAsfaltuotas privažiavimas,Terasa,Su baldaisŽidinys,,,
"Šiauliai, Gegužiai, Žiemgalių g., mūrinis namas",173 000 €,379,147 m²,"5,8 a",2,2008,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Verduliai, Tauro g., mūrinis sublokuotas namas",142 000 €,10,290 m²,"7,26 a",2,1995,Mūrinis,Sublokuotas namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Artezinis, šulinys",,,ElektraInternetas,GaražasPirtis,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasŽidinys,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiauliai, Centras, Draugystės pr., karkasinis namas",167 000 €,,119 m²,"6,45 a",2,2012,Karkasinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Gubernija, Tilžės g., mūrinis namas",169 400 €,,"164,74 m²","8,23 a",2,2011,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Šulinys, vietinis vandentiekis",Ežeras,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiaulių r. sav., Bubių k., Bokšto g., mūrinis namas",165 000 €,,"142,7 m²","8,56 a",1,2024,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Noreikių k., Rasos g., mūrinis namas",161 700 €,,"223,27 m²","7,6 a",2,2017,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiaulių r. sav., Lukšių k., mūrinis namas",182 500 €,,"83,88 m²","8,56 a",1,2021,Mūrinis,Namas (gyvenamasis),Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Bačiūnai, Aušrinės Sodų 1-oji g., mūrinis namas",124 500 €,,"79,98 m²","5,72 a",1,2024,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Micaičių k., Aušros g., mūrinis namas",56 000 €,30,170 m²,24 a,2,1978,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,RūsysŪkiniai pastatai,Skalbimo mašinaŠaldytuvasVirtuvės komplektasPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Skačių k., Lankų g., rąstinis namas",37 000 €,,68 m²,78 a,1,1950,Rąstinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,Upė,50,Kraštinis sklypasElektra,GaražasPirtisRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasViryklė,,,
"Šiauliai, Bačiūnai, Rūtos Sodų 6-oji g., mūrinis sodo namas",15 000 €,14,21 m²,5 a,1,1982,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,1,,,,ElektraAsfaltuotas privažiavimas,,Su baldaisŽidinys,,,
"Šiauliai, Bačiūnai, Bačiūnų g., rąstinis namas",88 900 €,,104 m²,12 a,2,1952,Rąstinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Dobilo g., mūrinis namas",115 000 €,14B,170 m²,"5,79 a",1,1956,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Asfaltuotas privažiavimasElektraDujos,Terasa,Virtuvės komplektas,Aptverta teritorija,,
"Šiauliai, Pabaliai, Sodininkų g., mūrinis namas",99 000 €,30,"204,76 m²","7,57 a",1,1981,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Šulinys, vietinis vandentiekis",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Kuršėnų m., Kraštinė g., mūrinis namas",135 000 €,51,"222,17 m²",21 a,1,2008,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Šulinys, vietinis vandentiekis",Tvenkinys,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasPirtisRūsysŪkiniai pastataiTerasa,Su baldaisŠaldytuvasVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Meškių k., Gėlių g., mūrinis sodo namas",27 000 €,,"50,94 m²","7,7 a",1,1987,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Elektra,Terasa,Su baldais,,,
"Šiaulių r. sav., Kuršėnų m., Šilėnų g., mūrinis namas",72 500 €,3,"206,99 m²","5,84 a",1,1979,Mūrinis,Namas (gyvenamasis),Centrinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Aukštelkės k., Saulėtekio g., karkasinis namas",184 000 €,,140 m²,30 a,2,2009,Karkasinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Gubernija, Vaidoto g., mūrinis namas",162 000 €,25,"363,36 m²","5,96 a",2,1995,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,11,Miesto vandentiekis,Ežeras,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,GaražasPirtisRūsys,Virtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,,
"Šiauliai, Pabaliai, Artojų g., mūrinis namas",299 990 €,10C,"113,01 m²","4,7 a",1,2022,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetasKabelinė televizija,Garažas,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durysVaizdo kameros,A+,
"Šiaulių r. sav., Pašvinių k., Saulės g., mūrinis namas",70 000 €,,"69,65 m²","5,95 a",2,1987,Mūrinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiauliai, Gubernija, Birštono g., mūrinis namas",84 999 €,24,"81,16 m²","6,3 a",1,1976,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastatai,Skalbimo mašinaSu baldaisŠaldytuvasViryklė,Aptverta teritorija,,
"Šiaulių r. sav., Aukštelkės k., Kalno g., blokinis sublokuotas namas",150 000 €,,80 m²,"4,5 a",1,2021,Blokinis,Sublokuotas namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Aukštelkės k., Kalno g., blokinis namas",232 000 €,,146 m²,13 a,2,2021,Blokinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Meškių k., Eglyno g., mūrinis namas",205 000 €,,260 m²,12 a,2,2008,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Artezinis,Tvenkinys,150,,GaražasTerasa,,Šarvuotos durys,,
"Šiaulių r. sav., Bubių k., Bokšto g., mūrinis namas",148 000 €,,125 m²,8 a,1,2024,Mūrinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Gervėnų k., Vyšnių g., mūrinis sodo namas",44 500 €,11,"97,28 m²","6,71 a",2,1989,Mūrinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,Kita,,,Elektra,GaražasRūsys,,Aptverta teritorija,,
"Šiauliai, Centras, M. Valančiaus g., medinio namo dalis",23 300 €,,66 m²,"4,66 a",1,1951,Medinis,Namo dalis,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Dvaro g., mūrinis namas",169 000 €,122B,191 m²,"6,36 a",1,"1968 statyba, 2014 renovacija",Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Miesto vandentiekis, šulinys",,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasŪkiniai pastatai,Virtuvės komplektasViryklėŽidinys,Aptverta teritorija,,
"Šiaulių r. sav., Beržtvų k., Paežerių g., rąstinis namas",119 000 €,18,"61,45 m²",195 a,1,"1890 statyba, 2014 renovacija",Rąstinis,Namas (gyvenamasis),"Elektra, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Gervėnų k., Vyturių g., karkasinis sodo namas",28 000 €,36,"30,51 m²","5,79 a",2,1970,Karkasinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,Vietinis vandentiekis,Tvenkinys,500,Greta miškoAsfaltuotas privažiavimasElektra,Rūsys,,,,
"Šiauliai, Centras, Rėkyvos g., mūrinis namas",349 000 €,8A,"237,54 m²","10,18 a",2,2013,Mūrinis,Namas (gyvenamasis),Geoterminis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,Šulinys,Ežeras,1 000,Asfaltuotas privažiavimasElektra,GaražasTerasa,Šildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiai,Aptverta teritorijaŠarvuotos durys,C,
"Šiaulių r. sav., Kuršėnų m., mūrinis namas",79 000 €,,200 m²,"29,45 a",2,1981,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Bačiūnai, Žibutės Sodų 1-oji g., mūrinis sodo namas",28 900 €,25,"36,08 m²","6,12 a",1,2023,Mūrinis,Sodo namas,"Elektra, kietu kuru, kita",Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,1,Šulinys,Ežeras,,Elektra,Rūsys,,,,
"Šiauliai, Šimšė, Agrastų g., mūrinis namas",161 000 €,16,"245,6 m²","6,85 a",2,1992,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,6,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastataiTerasa,Skalbimo mašinaŠaldytuvasViryklė,,,
"Šiauliai, Centras, V. Kudirkos g., mūrinis namas",149 000 €,,85 m²,4 a,1,2023,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,,,,,,,,,
"Šiaulių r. sav., Kuršėnų m., Klevų g., mūrinis namas",47 000 €,,"67,1 m²","9,19 a",1,1961,Mūrinis,Namas (gyvenamasis),"Centrinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūbinėRūsysŪkiniai pastatai,,Aptverta teritorija,,
"Šiauliai, Žaliūkiai, Voveriškių g., mūrinis namas",100 000 €,66,125 m²,"7,89 a",1,"1958 statyba, 2013 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,GaražasRūsysŪkiniai pastataiTerasa,Virtuvės komplektasViryklė,Aptverta teritorijaŠarvuotos durys,,
"Šiaulių r. sav., Pailių k., Trumpoji g., mūrinis namas",210 000 €,14,"182,69 m²",10 a,2,2012,Mūrinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Šulinys,Tvenkinys,500,ElektraInternetasKabelinė televizija,GaražasRūbinėŪkiniai pastataiTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėŽidinysPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaŠarvuotos durys,,
"Šiauliai, Medelynas, Klaipėdos g., mūrinis namas",239 000 €,,172 m²,"5,7 a",2,2023,Mūrinis,Namas (gyvenamasis),Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,5,,,,,,,,,
"Šiauliai, Šimšė, Prienų g., mūrinis namas",84 000 €,18,"122,91 m²","7,5 a",2,1962,Mūrinis,Namas (gyvenamasis),"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujosInternetas,GaražasRūsysŪkiniai pastatai,Su baldais,,,
"Šiaulių r. sav., Andrijavos k., Pervažos g., karkasinis namas",189 000 €,26,"183,49 m²",20 a,2,2023,Karkasinis,Namas (gyvenamasis),Elektra,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Šulinys,Tvenkinys,10,Kraštinis sklypasAsfaltuotas privažiavimasElektra,GaražasTerasa,Plastikiniai vamzdžiaiRekuperacinė sistema,Šarvuotos durys,,
"Šiaulių r. sav., Sauginių k., Pakrantės g., mūrinis namas",160 000 €,,225 m²,"13,2 a",2,"1993 statyba, 2021 renovacija",Mūrinis,Namas (gyvenamasis),Dujinis,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,5,Miesto vandentiekis,Tvenkinys,130,Asfaltuotas privažiavimasElektraDujos,GaražasPirtisTerasa,,Signalizacija,B,
"Šiauliai, Centras, J. Basanavičiaus g., mūrinis namas",189 000 €,,"199,62 m²","5,99 a",2,1996,Mūrinis,Namas (gyvenamasis),Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,,,,,,,,,
"Šiaulių r. sav., Pažižmėlių k., Žiužmos g., rąstinis namas",21 900 €,14,"55,5 m²",25 a,1,1955,Rąstinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Elektra,GaražasŪkiniai pastatai,Su baldaisVirtuvės komplektas,Aptverta teritorija,,
"Šiaulių r. sav., Raizgių k., Šventupio g., blokinis sodo namas",36 200 €,24,"73,76 m²","7,52 a",1,1989,Blokinis,Sodo namas,Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,Asfaltuotas privažiavimasDujos,Rūsys,,,,
"Šiaulių m. sav., Žaliūkių k., Anykštos g., mūrinis namas",340 000 €,,358 m²,"17,53 a",2,2014,Mūrinis,Namas (gyvenamasis),"Elektra, aeroterminis, dujinis, saulės energija",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,5,"Miesto vandentiekis, šulinys",,,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujosInternetas,GaražasPirtisRūbinėTerasa,KondicionieriusŠildomos grindysŽidinysPlastikiniai vamzdžiaiRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,C,
"Šiaulių r. sav., Žarėnų k., Draugystės g., rąstinis namas",16 900 €,22,"72,59 m²",19 a,1,1973,Rąstinis,Namas (gyvenamasis),Kietu kuru,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektra,GaražasŪkiniai pastatai,,,,
"Šiaulių r. sav., Dainų k., Upelio g., mūrinis sublokuotas namas",259 000 €,,"124,03 m²","4,6 a",2,2021,Mūrinis,Sublokuotas namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,4,Miesto vandentiekis,,,Kraštinis sklypasElektraDujosInternetasKabelinė televizija,RūbinėTerasa,Skalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaSignalizacijaVaizdo kameros,A+,
"Šiaulių r. sav., Verduliukų k., Aitvarų g., mūrinis sublokuotas namas",138 900 €,,80 m²,4 a,1,2022,Mūrinis,Sublokuotas namas,"Elektra, aeroterminis, saulės energija, kita",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Miesto vandentiekis,,,ElektraInternetasKabelinė televizija,Terasa,KondicionieriusSkalbimo mašinaSu baldaisŠaldytuvasŠildomos grindysVirtuvės komplektasViryklėPlastikiniai vamzdžiaiIndaplovėRekuperacinė sistema,Aptverta teritorijaŠarvuotos durys,A++,
"Šiaulių r. sav., Kairių mstl., Salduvės g., karkasinis namas",67 900 €,,63 m²,"32,32 a",1,2011,Karkasinis,Namas (gyvenamasis),Kita,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,2,,,,,,,,,
"Šiauliai, Bačiūnai, Žilvičio Sodų 4-oji g., mūrinis namas",99 500 €,,89 m²,6 a,1,2023,Mūrinis,Namas (gyvenamasis),"Elektra, kita",Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Verduliai, Žemynos g., mūrinis namas",92 000 €,94,"181,43 m²","9,2 a",1,2023,Mūrinis,Namas (gyvenamasis),Elektra,Nebaigtas statyti,Pastatyti naujus namus padėsprofesionalūs statybininkaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Aukštelkės k., Kalno g., mūrinis sublokuotas namas",123 000 €,,64 m²,"4,5 a",1,2021,Mūrinis,Sublokuotas namas,Elektra,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiaulių r. sav., Kuršėnų m., Ventos g., mūrinis namas",59 900 €,2A,"138,88 m²","9,51 a",2,"1924 statyba, 2004 renovacija",Mūrinis,Namas (gyvenamasis),Kietu kuru,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Miesto vandentiekis,Upė,10,Asfaltuotas privažiavimasElektra,RūsysTerasa,Židinys,Šarvuotos durys,,
"Šiaulių r. sav., Pašvinių k., Tetervinų g., karkasinis sodo namas",22 300 €,6,"22,12 m²","6,2 a",1,2004,Karkasinis,Sodo namas,Dujinis,Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,,,,,,,,,,
"Šiauliai, Centras, Parko g., mūrinis namas",89 000 €,12A,"128,86 m²","5,96 a",1,1962,Mūrinis,Namas (gyvenamasis),Kita,Neįrengtas,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,4,"Miesto vandentiekis, šulinys",,,Asfaltuotas privažiavimasElektraDujos,Ūkiniai pastatai,,Aptverta teritorija,,
"Šiaulių r. sav., Žuvininkų k., Rasos g., mūrinis sublokuotas namas",130 000 €,123,"94,64 m²",5 a,1,2022,Mūrinis,Sublokuotas namas,Kita,Dalinė apdaila,Įsirengti naujus namus padėsinterjero dizaineriaiiš,Saulės elektrinė Jūsų namui ar butui:,,Artezinis,,,Greta miško,Terasa,Šildomos grindysPlastikiniai vamzdžiai,Šarvuotos durys,A++,
"Šiauliai, Bačiūnai, Žilvičio Sodų 2-oji g., mūrinis sodo namas",47 000 €,,78 m²,"9,3 a",2,1989,Mūrinis,Sodo namas,"Dujinis, kietu kuru",Įrengtas,Įsikelti į naujus namus padėsperkraustymo profesionalaiiš,Saulės elektrinė Jūsų namui ar butui:,3,Šulinys,Ežeras,1 000,Kraštinis sklypasAsfaltuotas privažiavimasElektraDujos,GaražasRūsys,Šaldytuvas,Aptverta teritorija,,
